Mean,Median,StdDev,Variance,RMS,Max,Skewness,Kurtosis,FileName
-0.005260874,-0.000873185,0.026036218,0.000677885,0.026560849,0.091003,0.057825564,-0.346804324,1000_FGBSBOTHFB
-0.006943702,-0.001988497,0.024243741,0.000587759,0.025217102,0.06729877,-0.128849771,-0.779513692,1000_FGBSIRFB
-0.006618801,-0.001729307,0.02446117,0.000598349,0.025339383,0.06884821,-0.12157401,-0.771383805,1000_FGBSIRFB
-0.006161178,-0.001048858,0.024529105,0.000601677,0.025289595,0.07250387,-0.129119381,-0.77941731,1000_FGBSIRFB
-0.00645072,-0.001480236,0.024525276,0.000601489,0.025357988,0.06821389,-0.117476635,-0.781101045,1000_FGBSIRFB
-0.006355182,-0.001285963,0.024449478,0.000597777,0.02526049,0.07166123,-0.123547175,-0.783160941,1000_FGBSIRFB
-0.006217205,-0.001395424,0.024475187,0.000599035,0.025251046,0.06909739,-0.117692491,-0.776400591,1000_FGBSIRFB
-0.006124411,-0.001426468,0.024488333,0.000599678,0.02524111,0.07065275,-0.106394196,-0.766569247,1000_FGBSIRFB
-0.006110688,-0.001425877,0.024462017,0.00059839,0.025212254,0.06589437,-0.11799149,-0.78689636,1000_FGBSIRFB
-0.006153902,-0.001020225,0.024492922,0.000599903,0.025252733,0.07160126,-0.120410623,-0.777400696,1000_FGBSIRFB
-0.00618245,-0.000979732,0.024460584,0.00059832,0.025228353,0.06725912,-0.125277504,-0.778839509,1000_FGBSIRFB
-0.006102072,-0.000905013,0.024467163,0.000598642,0.02521516,0.06772578,-0.122847848,-0.774097294,1000_FGBSIRFB
-0.005813598,-0.000908358,0.024431559,0.000596901,0.025112271,0.07400856,-0.124096324,-0.787641394,1000_FGBSIRFB
-0.006067979,-0.001025216,0.024438789,0.000597254,0.025179393,0.06963705,-0.11718112,-0.781751457,1000_FGBSIRFB
-0.006352464,-0.001236806,0.024436278,0.000597132,0.025247031,0.06962714,-0.132389759,-0.774437529,1000_FGBSIRFB
-0.006692821,-0.001793137,0.024427862,0.00059672,0.025326694,0.0683995,-0.128213498,-0.795044416,1000_FGBSIRFB
-0.005956142,-0.000829146,0.024448614,0.000597735,0.025162222,0.06928748,-0.129135406,-0.779879996,1000_FGBSIRFB
-0.005237442,-0.000381576,0.024480408,0.00059929,0.025032939,0.07116673,-0.128605983,-0.803250278,1000_FGBSIRFB
-0.005490298,-0.000351483,0.024470734,0.000598817,0.025077621,0.06899513,-0.131709546,-0.796785649,1000_FGBSIRFB
-0.005796972,-0.000762916,0.024519068,0.000601185,0.025193574,0.0683242,-0.115615967,-0.773142462,1000_FGBSIRFB
-0.006587569,-0.001739746,0.024505685,0.000600529,0.025374226,0.06896774,-0.122660546,-0.8025238,1000_FGBSIRFB
